UUID,category,votes,id
de40c8424e9cd035b4aa43213f034275b9c63ed0b9fc6fe26891d274784a63c77,sponsor,1,101
7402fe547f5c0e6dfa6139a43a2c263e1cf3e0510a6d3e40da4e8e8daf0212537,sponsor,1,102
7402fe547f5c0e6dfa6139a43a2c263e1cf3e0510a6d3e40da4e8e8daf0212537,filler,1,103
827c5970b70f1d56573286874b95f46c8eadda7cc5257f5198c3a3e766612c607,sponsor,1,104
827c5970b70f1d56573286874b95f46c8eadda7cc5257f5198c3a3e766612c607,selfpromo,1,105
930c8eb40c42ee6e828e62002ebe7d6f669cbded751ec0fb8b712934f9c434577,sponsor,1,106
f65d358be776c6379c27a36f9ae26257ae966f75ad40e63682d7e32a0bd9b0e37,filler,1,107
f65d358be776c6379c27a36f9ae26257ae966f75ad40e63682d7e32a0bd9b0e37,intro,1,108
37554c22f848e7ce25b4deed3c97e8defd166b013a479aa78245284937c3ae5b7,filler,1,109
37554c22f848e7ce25b4deed3c97e8defd166b013a479aa78245284937c3ae5b7,intro,1,110
6dc61c4a692b4f1bec84967a140f0421f9cc23d90bc09a84386dde2ff8c6ba127,selfpromo,1,112
38c33c28e8f48767e79f2684148e28d2d0ffaa22e24de771bbc7cf09ea1aa6d67,intro,1,113
911f4454212665270edead48fcbd2ea2050064a38afef36ae5ce56a34b8f42a27,intro,1,114
911f4454212665270edead48fcbd2ea2050064a38afef36ae5ce56a34b8f42a27,music_offtopic,1,115
9eb79c7020bfcd66071eff2d2306ae3ce8581b24b95a0318ce6afb80a2e10b0b7,sponsor,1,116
1b6b1702cbcff8d14045b82770f67abaa264f45db330129c97f40049e8ff59047,outro,1,117
f9452743d70bc64d34471ab204f26c9c000f609b197fdc47523872730cafdbe27,intro,1,118
f9452743d70bc64d34471ab204f26c9c000f609b197fdc47523872730cafdbe27,sponsor,1,119
c5f3e78c2b932cc81f693de13ee773c89ae085ed06f36956df43256aa9c4a45b7,selfpromo,1,120
e38ec08d2fa50e8ee1a3eab5dc706ddd099274de45eb8a05b88652d0a26568f67,sponsor,1,121
8e06ae3af9fd0c81fab08987f04b3b07e0956c605b96b61c71e4b2ec9a56ac757,sponsor,1,122
972f29c21b446f32ebe9245e9e166f50286187ed7965f0165b3f098d2f02351c7,intro,1,123
972f29c21b446f32ebe9245e9e166f50286187ed7965f0165b3f098d2f02351c7,sponsor,1,124
bf13bd52cd307bc248ed6dcbfd3900451a2f2f7886bc16f1d547146d4bf7084e7,intro,1,125
bf13bd52cd307bc248ed6dcbfd3900451a2f2f7886bc16f1d547146d4bf7084e7,filler,1,126
116bfe38799515e7bc7cb7753fcacf6847cc0394188d5dad975e1fa5e40730d47,outro,1,127
825d5f3fe9523efd5d4a6a68c68312c8a158c33690466eebc5404ee5cb9816f57,sponsor,1,128
825d5f3fe9523efd5d4a6a68c68312c8a158c33690466eebc5404ee5cb9816f57,selfpromo,1,129
3a87e52d2216d81363bba7a8245a7fc03509508a08e45b55eee8d329c4c31ae17,sponsor,1,130
3a87e52d2216d81363bba7a8245a7fc03509508a08e45b55eee8d329c4c31ae17,filler,1,131
32d3e19837f043a75bf43c9628340b37b9e00edf6b03831953bf7a3dc573e8207,outro,1,132
ebb5d5efe2b5ee7f40e30d090d13e846aebeb14cb2b094d856d49a162e6beb377,sponsor,1,133
a83a923a4f9d94190c27fa41921ca483bab398bcfba3f705a8d6cc02735c0f387,intro,1,134
2319c95aff2a51ae27d2e33129549a66bc04273e2f6f328012d2cc53bf5fa4d57,sponsor,1,135
94c8699f4a3a2f19850acd24263cc10cec79a156147a56364ad8d5ee336a5e6b7,selfpromo,1,137
69ed409f02d30b3a6cc7f1f114b44e7f439c653eef4449f721d50a3cccb994f87,selfpromo,1,139
69ed409f02d30b3a6cc7f1f114b44e7f439c653eef4449f721d50a3cccb994f87,sponsor,2,138
c0caec04c3b92bf5f04229d3021d255b11f3d4689f83a535d92bbdca5fcee4187,outro,1,140
94c8699f4a3a2f19850acd24263cc10cec79a156147a56364ad8d5ee336a5e6b7,sponsor,2,136
c0caec04c3b92bf5f04229d3021d255b11f3d4689f83a535d92bbdca5fcee4187,selfpromo,1,141
a9284dce9398b9d8d1984e97cfeb4b20ab0b4ee8cc3e336a53d2aa1c3f3f5ed47,sponsor,1,142
a9284dce9398b9d8d1984e97cfeb4b20ab0b4ee8cc3e336a53d2aa1c3f3f5ed47,selfpromo,1,143
b899b1a6c6e62078b60e97d4c21a808211cf40cebcd34df37fb5adce45c4d29f7,outro,1,144
b899b1a6c6e62078b60e97d4c21a808211cf40cebcd34df37fb5adce45c4d29f7,sponsor,1,145
28418f18cfe917a24960ee490af3af88404c408d1c19605d8ab6b7e1efea77bb7,intro,1,146
28418f18cfe917a24960ee490af3af88404c408d1c19605d8ab6b7e1efea77bb7,sponsor,1,147
f1b0c1e79fd2757e3a9999082a8a5da6f14c03383e36691b45ba5348c23b2d9a7,sponsor,1,148
f1b0c1e79fd2757e3a9999082a8a5da6f14c03383e36691b45ba5348c23b2d9a7,selfpromo,1,149
df9831c33ad0871330af50715d69e715e6126804d72088366489104c040d6ed67,selfpromo,1,150
df9831c33ad0871330af50715d69e715e6126804d72088366489104c040d6ed67,sponsor,1,151
